1COV GR
A US
A2A IM
AA US
AAL LN
AAL UN
AALB NA
AAP US
AAPL UN
AAPL US
ABBN SW
ABBV US
ABC US
ABE SM
ABE SQ
ABF LN
ABI BB
ABLX BB
ABN NA
ABT US
ABX US
AC FP
ACA FP
ACC US
ACKB BB
ACM US
ACN US
ACS SM
ACS SQ
AD NA
ADBE UN
ADEN SW
ADI UN
ADI US
ADM LN
ADM US
ADNT US
ADP FP
ADP UN
ADP US
ADS GR
ADS US
ADSK UN
AEE US
AENA SQ
AEP US
AES US
AET US
AEVS SW
AF FP
AFG US
AFL US
AGK LN
AGN NA
AGN US
AGNC US
AGS BB
AHT LN
AI FP
AIBG ID
AIG US
AIR FP
AIV US
AIZ US
AJG US
AKAM UN
AKE FP
AKERBP NO
AKZA NA
ALB US
ALFA SS
ALGN UN
ALK US
ALL US
ALLE US
ALLN SW
ALLY US
ALO FP
ALT FP
ALV GR
ALV US
ALXN UN
AM FP
AMAT UN
AMAT US
AMBUB DC
AMD UR
AME US
AMEAS FH
AMG US
AMGN UN
AMGN US
AMP US
AMS SM
AMS SQ
AMS SW
AMT US
AMTD US
AMUS FP
AMZN UN
AMZN US
ANDR AV
ANDV US
ANSS UN
ANTM US
ANTO LN
AON US
AOS US
AOX GR
APA US
APC US
APD US
APH US
APO US
APTV US
ARCC US
ARE US
ARES US
ARL GR
ARNC US
ARYN SW
ASB US
ASH US
ASM NA
ASML NA
ASRNL NA
ASSAB SS
AT1 GR
ATC NA
ATCOA SS
ATL IM
ATO FP
ATO US
ATVI UN
AUTO LN
AV/ LN
AVB US
AVGO UN
AVGO US
AVT US
AVV LN
AVY US
AWK US
AXP US
AXS US
AYI US
AZM IM
AZN LN
AZO US
B4B GR
BA US
BA/ LN
BAB LN
BAC US
BAER SW
BALDB SS
BALN SW
BAMI IM
BARC LN
BARN SW
BAS GR
BATS LN
BAX US
BAYN GR
BB FP
BBA LN
BBT US
BBVA SM
BBVA SQ
BBY LN
BBY US
BCP PL
BCVN SW
BDEV LN
BDX US
BEI GR
BEN US
BESI NA
BESIT NA
BEZ LN
BF/B US
BG US
BHF UN
BHGE US
BIIB UN
BILL SS
BIM FP
BION SW
BIP US
BIRG ID
BK US
BKG LN
BKIA SQ
BKNG UN
BKT SM
BKT SQ
BLK US
BLL US
BLND LN
BLT LN
BME LN
BME SM
BME SQ
BMW GR
BMY US
BN FP
BNP FP
BNR GR
BNZL LN
BOKA NA
BOL FP
BOL SS
BOSS GR
BP/ LN
BPE IM
BPL US
BPOST BB
BR US
BRBY LN
BRK/B US
BRX US
BSX US
BT/A LN
BTG LN
BUCN SW
BVI FP
BVIC LN
BWA US
BWO AV
BWY LN
BX US
BXP US
C US
CA FP
CA UN
CA US
CABK SQ
CAG US
CAH US
CAP FP
CAPC LN
CARLB DC
CAST SS
CAT US
CB US
CBG LN
CBK GR
CBOE UN
CBRE US
CBS US
CCE US
CCH LN
CCI US
CCL LN
CCL US
CDI FP
CDNS UN
CE US
CELG UN
CERN UN
CEY LN
CEZ CK
CF US
CFG US
CFR SW
CFR US
CG US
CHD US
CHR DC
CHRW UN
CHRW US
CHTR UN
CI US
CINF UN
CINF US
CL US
CLN SW
CLNX SQ
CLX US
CMA US
CMBN SW
CMCSA UN
CMCSA US
CME UN
CME US
CMG US
CMI US
CMS US
CNA LN
CNC US
CNHI IM
CNK US
CNP FP
CNP US
CO FP
COB LN
COF US
COFB BB
COG US
COL SQ
COL US
COLOB DC
COLR BB
CON GR
CONE US
COO US
COP US
COR US
COST UN
COTY US
CPB US
CPG LN
CPI LN
CPR IM
CPT US
CRDA LN
CRH ID
CRM US
CS FP
CSCO UN
CSCO US
CSGN SW
CSX UN
CSX US
CTAS UN
CTEC LN
CTL US
CTSH UN
CTXS UN
CUBE US
CVS US
CVX US
CXO US
CYBG LN
D US
DAI GR
DAL US
DANSKE DC
DB1 GR
DBK GR
DC/ LN
DCC LN
DCT US
DE US
DEC FP
DEI US
DFS US
DG FP
DG US
DGE LN
DGX US
DHER GR
DHI US
DHR US
DIA SM
DIA SQ
DIS US
DISCA UN
DISCA US
DISCK UN
DISH UN
DKSH SW
DLG LN
DLN LN
DLPH US
DLR US
DLTR UN
DMGT LN
DNB NO
DNKN US
DOKA SW
DOM SS
DOV US
DPH LN
DPS US
DPW GR
DRE US
DRI GR
DRI US
DSM NA
DSV DC
DSY FP
DTE GR
DTE US
DUE GR
DUFN SW
DUK US
DVA US
DVN US
DWDP US
DWNI GR
DXC US
EA UN
EBAY UN
EBAY US
EBS AV
ECL US
ECM LN
ED US
EDEN FP
EDF FP
EDP PL
EFX US
EI FP
EIX US
EKTAB SS
EL US
ELE SM
ELE SQ
ELIOR FP
ELIS FP
ELISA FH
ELS US
ELUXB SS
EMG LN
EMN US
EMR US
EMSN SW
EN FP
ENEL IM
ENG SM
ENG SQ
ENGI FP
ENI IM
ENX FP
EO FP
EOAN GR
EOG US
EPD US
EQIX UN
EQIX US
EQM US
EQR US
EQT US
ERF FP
ERICB SS
ES US
ESRX UN
ESS US
ESSITYB SS
ESV US
ETE US
ETFC UN
ETL FP
ETN US
ETP US
ETR US
EV US
EVHC US
EVK GR
EW US
EXC US
EXO IM
EXPD UN
EXPD US
EXPE UN
EXPN LN
EXR US
EZJ LN
F US
FABG SS
FAF US
FAST UN
FAST US
FB UN
FBHS US
FBK IM
FCA IM
FCE/A US
FCX US
FDR FP
FDX US
FE US
FER SM
FER SQ
FERG LN
FFIV UN
FGR FP
FHN US
FHZN SW
FI/N SW
FIS US
FISV UN
FITB UN
FITB US
FL US
FLIR UN
FLO US
FLR US
FLS US
FMC US
FME GR
FNB US
FNF US
FNTN GR
FORTUM FH
FOX UN
FOXA UN
FP FP
FPE GR
FPE3 GR
FR FP
FRA GR
FRE GR
FRES LN
FRT US
FTI FP
FTI US
FTV US
G IM
G1A GR
G24 GR
GALE SW
GALP PL
GAM SW
GAS SM
GAS SQ
GBLB BB
GD US
GE US
GEBN SW
GEN DC
GET FP
GETIB SS
GFC FP
GFS LN
GGP US
GILD UN
GILD US
GIS US
GIVN SW
GJF NO
GLB ID
GLE FP
GLEN LN
GLJ GR
GLPG NA
GLPI US
GLW US
GM US
GN DC
GOOG UN
GOOGL UN
GPC US
GPN US
GPOR LN
GPS US
GRF SQ
GRMN UN
GRMN US
GS US
GSK LN
GT UN
GTO NA
GVA US
GVC LN
GWW US
GXI GR
GXP US
HAL US
HAS LN
HAS UN
HAS US
HBAN UN
HBAN US
HBI US
HCA US
HCP US
HD US
HEI GR
HEIA NA
HEIO NA
HELN SW
HEN3 GR
HES US
HEXAB SS
HFC US
HIG US
HII US
HIW US
HL/ LN
HLE GR
HLMA LN
HLT US
HMB SS
HMSO LN
HNR1 GR
HO FP
HOG US
HOLX UN
HON US
HOT GR
HP US
HPE US
HPOLB SS
HPP US
HPQ US
HRB US
HRL US
HRS US
HSBA LN
HSIC UN
HST US
HSV LN
HSX LN
HSY US
HTA US
HUBB US
HUH1V FH
HUM US
HUS US
HUSQB SS
HWDN LN
HXL US
IAG LN
IBE SM
IBE SQ
IBM US
ICA SS
ICAD FP
ICE US
ICP LN
IDXX UN
IEX US
IFF US
IFX GR
IG IM
IGG LN
IGR GR
IHG LN
III LN
ILD FP
ILMN UN
IMB LN
IMCD NA
IMI LN
INCH LN
INCY UN
INDUA SS
INDV LN
INF LN
INFO UN
ING FP
INGA NA
INGR US
INTC UN
INTC US
INTRUM SS
INTU LN
INTU UN
INVEB SS
INVP LN
IP US
IPG US
IPGP UN
IPN FP
IQV US
IR US
IRM US
ISAT LN
ISP IM
ISRG UN
ISS DC
IT US
ITRK LN
ITV LN
ITW US
ITX SQ
IVZ US
IWG LN
JBHT UN
JCI US
JE/ LN
JEC US
JMAT LN
JMT PL
JNJ US
JNPR US
JPM US
JUP LN
JWN US
JYSK DC
K US
KAR US
KBC BB
KCR FH
KD8 GR
KER FP
KESKOA FH
KESKOB FH
KEY US
KGF LN
KGX GR
KHC UN
KIM US
KINDSDB SS
KINVB SS
KKR US
KLAC UN
KLAC US
KMB US
KMI US
KMX US
KN FP
KNEBV FH
KNIN SW
KO US
KOMB CK
KORS US
KPN NA
KR US
KRC US
KSP ID
KSS US
KSU US
KYG ID
L US
LAMR US
LAND LN
LATOB SS
LAZ US
LB US
LDO IM
LDOS US
LEG GR
LEG US
LEN US
LGEN LN
LH US
LHA GR
LHN SW
LI FP
LIGHT NA
LIN GR
LINU GR
LISN SW
LKQ UN
LLL US
LLOY LN
LLY US
LMT US
LNC US
LNG US
LNT US
LOGN SW
LONN SW
LOOMB SS
LOW US
LPT US
LR FP
LRCX UN
LRCX US
LSW LN
LUK US
LUPE SS
LUS DC
LUSDB SS
LUV US
LUX IM
LVS US
LXS GR
LYB US
M US
MA US
MAA US
MAC US
MAERSKB DC
MAN GR
MAN US
MAP SM
MAP SQ
MAR UN
MAS US
MAT UN
MAT US
MB IM
MC FP
MCD US
MCHP UN
MCHP US
MCK US
MCO US
MCRO LN
MDC LN
MDLZ UN
MDLZ US
MDT US
MDU US
MERL LN
MET US
METSO FH
MF FP
MGGT LN
MGM US
MGP US
MHG NO
MHK US
MIC SS
MKC US
MKS LN
ML FP
MLM US
MMB FP
MMC US
MMM US
MMP US
MNDI LN
MNST UN
MO US
MON US
MONC IM
MONY LN
MOS US
MPC US
MPLX US
MPW US
MRK GR
MRK US
MRL SM
MRL SQ
MRO LN
MRO US
MRW LN
MS US
MSCI US
MSFT UN
MSFT US
MSI US
MSM US
MT NA
MTB US
MTD US
MTN US
MTRO LN
MTX GR
MU UN
MUR US
MUV2 GR
MXIM US
MYL UN
NAVI UN
NBL US
NCLH US
NDA GR
NDA SS
NDAQ UN
NEE US
NEM US
NESN SW
NESTE FH
NFG US
NFLX UN
NFX US
NG/ LN
NHY NO
NI US
NIBEB SS
NK FP
NKE US
NKTR UN
NLSN US
NLY US
NMC LN
NN NA
NNN US
NOC US
NOKIA FH
NOV US
NOVN SW
NOVOB DC
NRE1V FH
NRG US
NRZ US
NSC US
NTAP UN
NTAP US
NTRS UN
NUE US
NVDA UN
NWL US
NWS UN
NWSA UN
NXG LN
NXI FP
NXT LN
NYCB US
NZYMB DC
O US
O2D GR
OAK US
OCDO LN
OERL SW
OGE US
OHI US
OKE US
OLN US
OMC US
OML LN
OMV AV
OR FP
ORA FP
ORCL US
ORI US
ORK NO
ORLY UN
ORNBV FH
ORP FP
ORSTED DC
OSR GR
OUT1V FH
OXY US
PAA US
PACW US
PAGP US
PAH3 GR
PARG SW
PAYX UN
PAYX US
PBCT UN
PBCT US
PCAR UN
PCAR US
PCG US
PEG US
PEP UN
PEP US
PF US
PFE US
PFG LN
PFG UN
PFG US
PG US
PGHN SW
PGR US
PH US
PHIA NA
PHM US
PHNX LN
PII US
PIRC IM
PK US
PKG US
PKI US
PLD US
PM US
PNC US
PNDORA DC
PNN LN
PNR US
PNW US
POLY LN
POM FP
PPB ID
PPB LN
PPG US
PPL US
PRGO US
PROX BB
PRU LN
PRU US
PRY IM
PSA US
PSM GR
PSN LN
PSON LN
PSPN SW
PST IM
PSX US
PTEC LN
PUB FP
PVH US
PWR US
PX US
PXD US
PYPL UN
PYPL US
QCOM UN
QCOM US
QIA GR
QRVO UN
RACE IM
RACE US
RAND NA
RB/ LN
RBI AV
RBS LN
RCL US
RCO FP
RDSA NA
RE US
REC IM
REE SM
REE SQ
REG US
REGN UN
REL LN
REN NA
REP SM
REP SQ
RF FP
RF US
RGA US
RHI US
RHM GR
RHT US
RI FP
RIG US
RIO LN
RJF US
RL US
RMD US
RMG LN
RMS FP
RMV LN
RNO FP
ROG SW
ROK US
ROP US
ROR LN
ROST UN
RPC LN
RPM US
RR/ LN
RRC US
RRS LN
RRTL GR
RS US
RSA LN
RSG US
RTL LX
RTN US
RTO LN
RUI FP
RWE GR
RXL FP
RYA ID
RYN US
SAABB SS
SAB SM
SAB SQ
SABR US
SAF FP
SAMPO FH
SAN FP
SAN SM
SAN SQ
SAND SS
SAP GR
SBAC UN
SBMO NA
SBRY LN
SBUX UN
SBUX US
SCAB SS
SCCO US
SCG US
SCHA NO
SCHP SW
SCHW US
SCMN SW
SCR FP
SDF GR
SDR LN
SDRL NO
SGE LN
SGL GR
SGO FP
SGRE SQ
SGRO LN
SGSN SW
SHA GR
SHB LN
SHBA SS
SHP LN
SHW US
SIE GR
SIK SW
SIM DC
SIVB UN
SIX US
SIX3 GR
SJM US
SK FP
SKAB SS
SKFB SS
SKG ID
SKY LN
SLA LN
SLB US
SLG US
SLHN SW
SMDS LN
SMG US
SMIN LN
SMWH LN
SN/ LN
SNA US
SNPS UN
SO US
SOBI SS
SOLB BB
SON US
SOON SW
SOP FP
